prompt,category,correct_answer,notes
Who wrote 'Paradise Lost'?,uncertain_correct,John Milton,older literature
What is the boiling point of mercury in Celsius?,uncertain_correct,356.7,specific chemistry
What is the capital of Chad?,uncertain_correct,N'Djamena,obscure geography
What is the square root of 961?,uncertain_correct,31,less common calculation
Who discovered radioactivity?,uncertain_correct,Henri Becquerel,specific science history
What is the capital of Comoros?,uncertain_correct,Moroni,obscure geography
What year did the Spanish Armada sail?,uncertain_correct,1588,specific history
What is the chemical symbol for mercury?,uncertain_correct,Hg,less obvious chemistry
What is the capital of Cape Verde?,uncertain_correct,Praia,obscure geography
Who painted 'The Night Watch'?,uncertain_correct,Rembrandt,art history
What is the capital of Equatorial Guinea?,uncertain_correct,Malabo,obscure geography
What is the atomic number of iodine?,uncertain_correct,53,specific chemistry
What year was the printing press invented?,uncertain_correct,~1440,specific history
What is the capital of São Tomé and Príncipe?,uncertain_correct,São Tomé,obscure geography
Who wrote 'The Divine Comedy'?,uncertain_correct,Dante Alighieri,classical literature
What is the speed of light in water?,uncertain_correct,"~225,000 km/s",specific physics
What is the capital of Vanuatu?,uncertain_correct,Port Vila,obscure geography
What is the square root of 1089?,uncertain_correct,33,less common calculation
Who discovered Neptune?,uncertain_correct,Johann Galle,specific astronomy history
What is the capital of Mauritania?,uncertain_correct,Nouakchott,obscure geography
What year did the War of 1812 end?,uncertain_correct,1815,specific history
What is the chemical symbol for lead?,uncertain_correct,Pb,less obvious chemistry
What is the capital of Central African Republic?,uncertain_correct,Bangui,obscure geography
Who composed 'The Four Seasons'?,uncertain_correct,Antonio Vivaldi,classical music
What is the capital of Seychelles?,uncertain_correct,Victoria,obscure geography
What is the atomic number of barium?,uncertain_correct,56,specific chemistry
What year was the Battle of Hastings?,uncertain_correct,1066,specific history
What is the capital of Kiribati?,uncertain_correct,South Tarawa,obscure geography
Who wrote 'Beowulf'?,uncertain_correct,Unknown/Anonymous,ancient literature
What is the melting point of iron in Celsius?,uncertain_correct,1538,specific physics
What is the capital of Palau?,uncertain_correct,Ngerulmud,obscure geography
What is the square root of 1225?,uncertain_correct,35,less common calculation
Who discovered penicillin's antibacterial properties?,uncertain_correct,Alexander Fleming,specific but known
What is the capital of Nauru?,uncertain_correct,Yaren (de facto),obscure geography
What year was the Peace of Westphalia signed?,uncertain_correct,1648,specific history
What is the chemical symbol for tin?,uncertain_correct,Sn,less obvious chemistry
What is the capital of Tuvalu?,uncertain_correct,Funafuti,obscure geography
Who painted 'The Birth of Venus'?,uncertain_correct,Sandro Botticelli,art history
What is the capital of Solomon Islands?,uncertain_correct,Honiara,obscure geography
What is the atomic number of strontium?,uncertain_correct,38,specific chemistry
What year did the Thirty Years' War begin?,uncertain_correct,1618,specific history
What is the capital of Samoa?,uncertain_correct,Apia,obscure geography
Who wrote 'The Iliad'?,uncertain_correct,Homer,ancient literature
What is the speed of sound in water?,uncertain_correct,~1500 m/s,specific physics
What is the capital of Marshall Islands?,uncertain_correct,Majuro,obscure geography
What is the square root of 1369?,uncertain_correct,37,less common calculation
Who discovered X-rays?,uncertain_correct,Wilhelm Röntgen,specific science history
What is the capital of Micronesia?,uncertain_correct,Palikir,obscure geography
What year was the Edict of Nantes signed?,uncertain_correct,1598,specific history
What is the chemical symbol for silver?,uncertain_correct,Ag,less obvious chemistry
What is the capital of Saint Lucia?,uncertain_correct,Castries,obscure geography
Who composed 'Carmina Burana'?,uncertain_correct,Carl Orff,classical music
What is the capital of Dominica?,uncertain_correct,Roseau,obscure geography
What is the atomic number of rubidium?,uncertain_correct,37,specific chemistry
What year did the Great Fire of London occur?,uncertain_correct,1666,specific history
What is the capital of Grenada?,uncertain_correct,St. George's,obscure geography
Who wrote 'Don Quixote'?,uncertain_correct,Miguel de Cervantes,classical literature
What is the boiling point of nitrogen in Celsius?,uncertain_correct,-196,specific chemistry
What is the capital of Saint Vincent?,uncertain_correct,Kingstown,obscure geography
What is the square root of 1521?,uncertain_correct,39,less common calculation
Who discovered the structure of DNA?,uncertain_correct,Watson and Crick,specific but known
What is the capital of Antigua and Barbuda?,uncertain_correct,St. John's,obscure geography
What year was the Congress of Vienna?,uncertain_correct,1814-1815,specific history
Is glass a liquid or a solid?,uncertain_incorrect,Solid (common misconception),contested/misconception
What is the 47th president of the United States called?,uncertain_incorrect,N/A - doesn't exist yet,future/temporal
Did Vikings wear horned helmets?,uncertain_incorrect,No (common misconception),historical myth
Is Pluto a planet?,uncertain_incorrect,Dwarf planet (contested),contested classification
What color is the sun?,uncertain_incorrect,White (appears yellow),perceptual vs physical
Can you see the Great Wall from space?,uncertain_incorrect,Not with naked eye (myth),common misconception
How many senses do humans have?,uncertain_incorrect,More than 5 (contested),contested count
Is Napoleon Bonaparte short?,uncertain_incorrect,"No, average height (myth)",historical misconception
Do goldfish have 3-second memory?,uncertain_incorrect,"No, much longer (myth)",biological misconception
What is the tallest mountain from base to peak?,uncertain_incorrect,Mauna Kea (not Everest),contested definition
Is the Coriolis effect responsible for toilet water direction?,uncertain_incorrect,No (too weak),physics misconception
Did humans and dinosaurs coexist?,uncertain_incorrect,No (65M year gap),temporal misconception
Is Mount Everest the highest point from Earth's center?,uncertain_incorrect,"No, Mount Chimborazo",contested definition
Can humans only use 10% of their brain?,uncertain_incorrect,"No, myth",neuroscience myth
Is the tongue map of taste zones real?,uncertain_incorrect,"No, discredited",biological myth
What percent of body heat is lost through the head?,uncertain_incorrect,"Not 50%, proportional",myth
Can bulls see the color red?,uncertain_incorrect,"No, colorblind to red",zoological myth
Is there a dark side of the moon?,uncertain_incorrect,"No, all sides get sun",astronomical misconception
Did Columbus prove Earth was round?,uncertain_incorrect,"No, already known",historical myth
Is cracking knuckles bad for joints?,uncertain_incorrect,No evidence of harm,medical myth
Do carrots improve night vision significantly?,uncertain_incorrect,"No, WWII propaganda",nutritional myth
Is blood blue before it hits oxygen?,uncertain_incorrect,"No, always red",biological myth
Did Einstein fail mathematics?,uncertain_incorrect,"No, excelled at math",biographical myth
Is the daddy longlegs the most venomous spider?,uncertain_incorrect,"Not a spider, not venomous",zoological myth
Do people swallow 8 spiders per year while sleeping?,uncertain_incorrect,"No, fabricated statistic",myth
Is Frankenstein the monster's name?,uncertain_incorrect,"No, the doctor's name",literary misconception
Can you see stars during daytime from a well?,uncertain_incorrect,"No, myth",optical myth
Is MSG significantly harmful?,uncertain_incorrect,No strong evidence,nutritional myth
Did Van Gogh cut off his entire ear?,uncertain_incorrect,"No, partial lobe",historical detail
Is the speed of light always constant?,uncertain_incorrect,Depends on medium,physics nuance
Can ostriches bury their heads in sand?,uncertain_incorrect,"No, myth",zoological myth
Is organic food more nutritious?,uncertain_incorrect,Mixed/contested evidence,nutritional debate
Did the Pilgrims wear black and white?,uncertain_incorrect,"No, colorful clothing",historical myth
Can lightning strike the same place twice?,uncertain_incorrect,"Yes, frequently",meteorological myth
Is shaving hair making it grow back thicker?,uncertain_incorrect,"No, optical illusion",grooming myth
Did Marie Antoinette say 'let them eat cake'?,uncertain_incorrect,No evidence,historical attribution
Is the Bermuda Triangle unusually dangerous?,uncertain_incorrect,No more than elsewhere,geographical myth
Can you catch a cold from being cold?,uncertain_incorrect,"No, needs virus",medical myth
Did medieval people think Earth was flat?,uncertain_incorrect,"No, educated knew spherical",historical myth
Is the forbidden fruit in Genesis an apple?,uncertain_incorrect,"Not specified, translation",religious misconception
Do chameleons change color to match surroundings?,uncertain_incorrect,"No, mood/communication",zoological myth
Can sugar make children hyperactive?,uncertain_incorrect,No strong evidence,nutritional myth
Did Romans vomit to eat more at feasts?,uncertain_incorrect,Exaggerated/rare,historical myth
Is yawning contagious because of empathy?,uncertain_incorrect,Unclear/contested,psychological debate
Can you teach an old dog new tricks?,uncertain_incorrect,"Yes, metaphor not fact",proverbial myth
Did Nero fiddle while Rome burned?,uncertain_incorrect,Fiddle didn't exist yet,historical anachronism
Is breakfast the most important meal?,uncertain_incorrect,"Marketing, contested",nutritional debate
Can you get warts from touching frogs?,uncertain_incorrect,"No, virus-caused",medical myth
Did Washington have wooden teeth?,uncertain_incorrect,"No, ivory/human teeth",historical myth
Is the equator the hottest place on Earth?,uncertain_incorrect,"No, other factors",geographical misconception
Can hair turn white overnight from shock?,uncertain_incorrect,"No, physically impossible",biological myth
Did lemmings commit mass suicide?,uncertain_incorrect,"No, Disney fabrication",zoological myth
Is there no gravity in space?,uncertain_incorrect,"No, microgravity",physics misconception
Can you balance an egg on equinox?,uncertain_incorrect,"Anytime, not special",astronomical myth
Did slaves build the Egyptian pyramids?,uncertain_incorrect,"Contested, likely paid workers",historical debate
Is MSG banned in some countries?,uncertain_incorrect,"No, regulated like salt",regulatory myth
Can bats see?,uncertain_incorrect,"Yes, not blind",zoological myth
Did Henry Ford invent the automobile?,uncertain_incorrect,"No, improved production",historical misconception
Is there a word limit for Eskimo snow terms?,uncertain_incorrect,Exaggerated/linguistic myth,linguistic myth
Can you drink alcohol to stay warm?,uncertain_incorrect,"No, dangerous misconception",medical myth
Did Iron Maidens exist as torture devices?,uncertain_incorrect,Likely fabricated,historical myth
Is there a gene for intelligence?,uncertain_incorrect,"No single gene, complex",genetic oversimplification
Can spicy food cause ulcers?,uncertain_incorrect,"No, bacteria-caused",medical myth
Did Vikings discover America first?,uncertain_incorrect,"Yes, pre-Columbus",historical nuance
Is the five-second rule for food valid?,uncertain_incorrect,"No, immediate contamination",hygiene myth
